Department,Sub-Department,text
Accounting Office,"Office: 222, Telefax: 253-1698, Directline: 253-9965, Manager: 225, Cashier: 223, Basement: 224","The Accounting Office of USJ-R is the office responsible for handling the university's finances. It is in charge of processing payments, managing the budget, preparing financial reports, and ensuring that the accounting procedures of the institution are in compliance with the laws and regulations. The Accounting Office is also responsible for providing financial advice to the university, helping to develop financial plans, and providing other financial services. They can be contacted for any queries related to financial matters."
Alumni Office,"Office: 219, Telefax: 255-3060, Audio Visual Room: 248","The Alumni Office at USJ-R is responsible for connecting and engaging with alumni of the university. They provide support and resources for alumni to help them stay connected to the university and build an alumni network. The Alumni Office also coordinates alumni events and manages alumni relations. They also provide services such as access to the alumni directory, alumni awards and scholarships, and career and networking opportunities."
Back Gate Guards,nan: 203/204,"The Back Gate Guards are a department responsible for ensuring the security and safety of the University of San Jose-Recoletos community. They are available 24/7 to monitor the entrance and exits of the university, while controlling access only to authorized personnel. They also assist in providing information to visitors and guests of the university. They can be contacted by phone or by visiting the Back Gate Guard booth."
Balamban Campus,"Office: 512-6050, Directline: 512-6782","The Balamban Campus of the University of San Jose-Recoletos is located in the Municipality of Balamban, Province of Cebu, Philippines. It was established in 2016 with the aim of providing quality tertiary education to the people of Balamban and the surrounding areas. The campus offers courses in Accounting, Business Administration, Education, Hospitality Management, Information Technology, and Social Sciences. It also has a Computer Laboratory and a Library.

The Balamban Campus’ contact information is as follows:

Address: Balamban, Cebu, Philippines

Telephone Number: (032) 515-3181

Fax Number: (032) 515-3182

Email: balamban@usjr.edu.ph

Website: http://www.usjr.edu.ph/balamban"
Basak Campus,nan: 417-9500,"The Basak Campus of the University of San Jose- Recoletos (USJ-R) is dedicated to providing quality education and services to the local community. The campus is located in Basak, Cebu City, and has a variety of facilities including classrooms, laboratories, libraries, and other amenities. The Basak Campus also has a range of administrative staff and faculty members who are available to help students with any queries or concerns. The contact details of the Basak Campus are as follows: Address: Basak, Cebu City, Philippines; Phone: +63 32 232-5000; Email: basak_campus@usjr.edu.ph; Website: www.usjr.edu.ph."
CPA Review Center,"Office: 218, Email: cpa@usjr.edu.ph, Office: 218","The CPA Review Center at the University of San Jose- Recoletos provides resources for students who wish to pursue a Certified Public Accountant (CPA) certification. They offer comprehensive review classes, seminars, and support materials to help students prepare for the rigorous CPA exam. The center is staffed by experienced CPA professionals who can provide guidance and advice to students throughout the review process. Additionally, the CPA Review Center hosts a series of events throughout the year to help students stay informed on the latest exam requirements, tips, and strategies."
CRE Office,"Office: 289, Director: 288, Email: cre@usjr.edu.ph","The CRE Office at University of San Jose-Recoletos is primarily responsible for managing the academic programs and curriculum offered in the university. It is responsible for developing, implementing, and evaluating the academic programs in order to ensure that their quality and relevance are maintained. The office also serves as the main academic contact for faculty, staff, students, and the public. It is the point of contact for inquiries related to academic policies, procedures, and requirements. Additionally, the office provides support services to faculty and staff in the development of academic programs."
Campus Ministry Office,"Office: 236, Chaplain: 235, Email: cmo@usjr.edu.ph","The Campus Ministry Office at the University of San Jose- Recoletos is responsible for providing spiritual and pastoral care to the entire university community. They strive to create an environment of spirituality and reflection for all students, faculty, and staff members. Their services include offering spiritual counseling, retreats, and activities that foster a deeper understanding of the Catholic faith. They also provide assistance in facilitating Masses, interfaith events, and other prayer services. The Campus Ministry Office is committed to providing a safe and welcoming space for students, faculty, and staff to come together and share in their faith."
Campus Planning,"Office: 228, Head: 229, Telefax: 255-7081, Email: campus_planning@usjr.edu.ph","The Campus Planning department of USJ-R is responsible for the physical planning of the university's land and facilities. They design and execute plans that ensure that the university's buildings, grounds, and infrastructure are optimized for their current and future use. The department coordinates with relevant departments such as Facilities and Services, Planning and Development, and Academic Affairs to ensure that all projects and plans are in line with the university's goals. They also provide guidance and support to other departments in the implementation of their plans. The Campus Planning department is also responsible for providing guidance to faculty, staff, and students on the use of the university's land and facilities."
Center for Performing Arts,nan: 249,"The Center for Performing Arts is a department of the University of San Jose- Recoletos dedicated to promoting and fostering the performing arts. It is responsible for organizing and hosting performances, lectures, workshops and other events related to the performing arts. It also provides resources and support to students, faculty and staff seeking to explore and develop their performing arts skills. The Center for Performing Arts can be contacted by email, phone, or in person."
Clinic Office,"Medical/Dental: 216, Doctor: 217, Email: clinic@usjr.edu.ph","The Clinic Office is responsible for providing medical care to the students, faculty, and staff of the University of San Jose-Recoletos. The Clinic Office is staffed by a team of medical professionals, including a doctor, nurse, and medical assistant, who provide comprehensive primary care services. The Clinic Office is located in the Health Services Building, and is open Monday through Friday, from 8:00 a.m. to 5:00 p.m. Patients can make appointments for consultation and treatment through the Clinic Office. The Clinic Office also provides urgent care services and referral services for specialized medical care."
College of Arts & Sciences,"Secretary/Telefax: 280, Dean: 355, DJC: 295, DLL: 285, DMS: 284, DMS Chairman: 275, DSSP: 281, DIPLIS: 326, Email: cas@usjr.edu.ph","The College of Arts & Sciences at the University of San Jose-Recoletos focuses on providing excellent education in the humanities, social sciences, natural sciences, and mathematics. It offers a range of undergraduate and graduate degree programs, as well as courses that are designed to further students’ knowledge and understanding in the various disciplines. The College of Arts & Sciences is committed to helping students develop the skills they need to succeed in their chosen field. The College's faculty and staff are dedicated to providing students with the best education and research opportunities. Contact information for the College of Arts & Sciences can be found on the university's website, including contact numbers for the Dean's office, the College's Student Services Center, and the College's various departments."
College of Commerce,"Commerce Office: 271, Commerce Dean: 270, Commerce Chair: 277, THMD: 283/282, BRC: 274, Email: commerce@usjr.edu.ph","The College of Commerce at the University of San Jose- Recoletos (USJ-R) is dedicated to providing students with a comprehensive education in commerce and business-related fields. The College of Commerce is composed of six departments: Business Administration, Accountancy, Management Information Systems, Operations Management, Finance, and Entrepreneurship. The College of Commerce also provides students with numerous opportunities to gain practical experience through internships, research projects, and student-led initiatives. The College of Commerce's faculty and staff are committed to providing students with an excellent education and guidance in their chosen field of study. The College of Commerce can be contacted directly through its website or by telephone."
College of Engineering,"Engineering Office: 292, Engineering Dean: 290, Engineering Secretary: 291, ECL 1: 296, ECL 2: 297, CMPE LAB: 372, CE LAB: 342, ECE LAB: 350, EE LAB: 354, ME LAB: 293, I.E. LAB: 374, Email: engg@usjr.edu.ph","The College of Engineering at the University of San Jose- Recoletos provides students with the opportunity to pursue a degree in engineering. The college offers a wide range of programs, from Bachelor of Science in Engineering and Bachelor's of Science in Engineering Technology to Master's and Doctoral programs. The college has a strong focus on research and innovation, and students are encouraged to engage in research activities and present their findings in conferences and seminars. The faculty is highly knowledgeable and experienced, and they actively support and guide students in their academic and career goals. The college also provides a range of support services and resources to help students succeed in their studies. For more information, please contact the College of Engineering directly."
