partition_name,attribute,value
documents_partition,title,"Timeless Existence and Principle of Creation: Notions Embedded in John 1:1, ""In the Beginning Was the Word"""
documents_partition,title,Ratooning Response of Lowland Rice (Oryza sativa L.) var. PSB Rc22 to Production Management Practices
documents_partition,title,Paternal Resilience in Time of Pandemic: A Phenomenological Inquiry on the Experiences of Fathers of Children with Autism
documents_partition,title,An Inquiry into the Problems Concerning Filipino Values and Norms
documents_partition,title,Correlating the Psychological and Spiritual Well-Being of Junior High School Students in Selected Catholic Schools in Central Philippines
documents_partition,title,Construction of Difference Sets from Unions of Cyclotomic Classes of Order N=14
documents_partition,title,The Properties of Interlocking Directorates in the Philippines: An Exploratory Analysis
documents_partition,title,The Infusion of Folk Catholicism to Tambal Binisaya as an Indigenous Healing System in Iligan City
documents_partition,title,Modeling Employee Retention Amidst COVID-19 Pandemic: An Econometric Approach
documents_partition,title,Development of Science Research Culture in Basic Education: A Theory Generation
documents_partition,title,Cognitive Dimension of Learning Using Garden-Based Education towards Sustainability: A Meta-Synthesis
documents_partition,title,The Yapian Classification of the Vocabulary of the Austronesian Visayan-Cebuano Language
documents_partition,title,Understanding the Suicide Phenomenon from the Perspectives of the Loss Survivors
documents_partition,title,The Community of Inquiry Instructional Strategies Impact on Student Satisfaction on Remote Learning
documents_partition,title,Auditors’ Professional Skepticism and Its Relationship with Their Thinking Styles
documents_partition,title,The Determinants of Fake News Adaptation during COVID-19 Pandemic: A Social Psychology Approach
documents_partition,title,Deriving a Formula in Solving Reverse Fibonacci Means
documents_partition,title,Sugbo Negosyo Program Digital Card Implementation: Technology Acceptance and Satisfaction among Microentrepreneur-Beneficiaries
documents_partition,title,Digital Finance on Stability among Philippine Banks
documents_partition,title,"The Tuba Culture in Leyte, Philippines"
documents_partition,title,Symbolic Actions of Cultural Characters in Davao Folk Narratives
documents_partition,title,"Fun and Fearless: Magazine Covers, Feminine Ideologies, and Representations"
documents_partition,title,Rethinking Catholic Education: Experiences of Teachers of a Catholic University
documents_partition,title,Linguistic and Sociolinguistic Competence of Senior High School Students
documents_partition,title,Judicial Resolution of Cases in Small Scale Financial Claims: The Malaysian Experience
documents_partition,title,"The Effect of Consumer Innovativeness, Perceived Benefits, Perceived Risk, and Brand Image in the Decision to Buy Online"
documents_partition,title,Perfect Outer-connected Domination in the Join and Corona of Graphs
documents_partition,title,Disjoint Secure Domination in the Join of Graphs
documents_partition,title,Inverse Clique Domination in Graphs
documents_partition,title,Optimal Scheduling of Battery Energy Storage for Grid-Connected Load Using Photovoltaic System (PV) via Binary Particle Swarm Optimization (BPSO)
documents_partition,title,"Practices of Entomophagy and Entomotherapy in Cebu Island, Philippines"
documents_partition,title,Maximizing the Storage Capacity of Free Cloud Storage Providers
documents_partition,title,Drug Trafficking and the Socio-Political Economic Contexts in Selected Countries
documents_partition,title,Studentsâ€™ Grade vs. Teachersâ€™ Evaluation: An Empirical Validation
documents_partition,title,Social Media in the National and International Arenas
documents_partition,title,Reality of Human Experience and the Search for Unity
documents_partition,title,Socio-Economic Indicators of Coastal Resource Management Participation: The Bataan Case
documents_partition,title,Energy Conservation in Academic Institutions: An Application of Theory of Planned Behavior
documents_partition,title,Ricoeurâ€™s Hermeneutics: Transforming Political Structures into Just Institutions through the Critical Appropriation of Political Power
documents_partition,title,Geographic Information System-Based Suitability Analysis for Potential Shallow Tube-Well Irrigation Development
documents_partition,title,An Analytic Approximation to the Density of Twin Primes
documents_partition,title,Global Patterns in Spatial Expansion of Dengue Serotype-I in Response to Increasing Surface Temperature
documents_partition,title,Melliferous Resources for Bee Forage
documents_partition,title,The Pseudoscientific Characteristic of Traditional and Alternative Medicines
documents_partition,title,Structural Applications of Fiber-Reinforced Polymer (FRP) Composites in Australia and Philippines
documents_partition,title,Various Trends on the National Development of Renewable Energy Source Affecting the Natural Resource Depletion
documents_partition,title,Displacement and Illumination Levels Effect on Short-distance Measurement Errors of Using a Camera
documents_partition,title,Government Effectiveness and Corruption Control to the Global Competitiveness Level of ASEAN Countries
documents_partition,title,Paul Ricoeur's Mystery of Hermeneutics and Identity
documents_partition,title,The â€œResurrection of the Fleshâ€ according to Saint Augustine
documents_partition,title,Screening Indicators for an Improved Faculty Accomplishment
documents_partition,title,Multidimensional Poverty Indicators in light of ASEAN Integration
documents_partition,title,Sovereign Bankruptcy in the Perspective of the ASEAN Integration
